reaction_id,q1h_idx,q2_idx,q1_idx,q2h_idx
[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2,1,0,0,1
O_m1.[H]_m2>>[OH]_m2.[H][H]_m1,2,0,0,1
O_m1.[O]_m3>>[OH]_m2.[OH]_m2,2,0,0,1
OO_m1.[H]_m2>>O[O]_m2.[H][H]_m1,3,0,1,1
OO_m1.[O]_m3>>O[O]_m2.[OH]_m2,3,0,1,1
OO_m1.[OH]_m2>>O[O]_m2.O_m1,3,0,1,2
OO_m1.[OH]_m2>>O[O]_m2.O_m1,3,0,1,2
O[O]_m2.[H]_m2>>[O][O]_m3.[H][H]_m1,2,0,1,1
O[O]_m2.[O]_m3>>[O][O]_m3.[OH]_m2,2,0,1,1
O[O]_m2.[OH]_m2>>[O][O]_m3.O_m1,2,0,1,2
O[O]_m2.[OH]_m2>>[O][O]_m3.O_m1,2,0,1,2
O[O]_m2.O[O]_m2>>[O][O]_m3.OO_m1,2,1,1,3
O[O]_m2.O[O]_m2>>[O][O]_m3.OO_m1,2,1,1,3
C_m1.[H]_m2>>[CH3]_m2.[H][H]_m1,4,0,0,1
C_m1.[O]_m3>>[CH3]_m2.[OH]_m2,4,0,0,1
C_m1.[OH]_m2>>[CH3]_m2.O_m1,4,0,0,2
C_m1.O[O]_m2>>[CH3]_m2.OO_m1,4,1,0,3
C_m1.CO[O]_m2>>[CH3]_m2.COO_m1,4,2,0,6
O[O]_m2.[CH3]_m2>>[O][O]_m3.C_m1,2,0,1,4
C_m1.[CH2]_m3>>[CH3]_m2.[CH3]_m2,4,0,0,3
[CH3]_m2.[H]_m2>>[CH2]_m1.[H][H]_m1,3,0,0,1
[CH2]_m1.[H]_m2>>[CH]_m4.[H][H]_m1,2,0,0,1
[CH2]_m3.[H]_m2>>[CH]_m4.[H][H]_m1,2,0,0,1
[CH2]_m3.[OH]_m2>>[CH]_m4.O_m1,2,0,0,2
[CH]_m4.[H]_m2>>[C]_m5.[H][H]_m1,1,0,0,1
[CH3]_m2.[OH]_m2>>[CH2]_m1.O_m1,3,0,0,2
[CH3]_m2.[OH]_m2>>[CH2]_m3.O_m1,3,0,0,2
O[O]_m2.CO[O]_m2>>[O][O]_m3.COO_m1,2,2,1,6
OO_m1.CO[O]_m2>>O[O]_m2.COO_m1,3,2,1,6
COO_m1.[H]_m2>>CO[O]_m2.[H][H]_m1,6,0,2,1
CO_m1.[H]_m2>>C[O]_m2.[H][H]_m1,5,0,1,1
CO_m1.[H]_m2>>[CH2]O_m2.[H][H]_m1,4,0,0,1
CO_m1.[O]_m3>>C[O]_m2.[OH]_m2,5,0,1,1
CO_m1.[O]_m3>>[CH2]O_m2.[OH]_m2,4,0,0,1
CO_m1.[OH]_m2>>C[O]_m2.O_m1,5,0,1,2
CO_m1.[OH]_m2>>[CH2]O_m2.O_m1,4,0,0,2
CO_m1.[O][O]_m3>>C[O]_m2.O[O]_m2,5,1,1,2
CO_m1.[O][O]_m3>>[CH2]O_m2.O[O]_m2,4,1,0,2
CO_m1.O[O]_m2>>C[O]_m2.OO_m1,5,1,1,3
CO_m1.O[O]_m2>>[CH2]O_m2.OO_m1,4,1,0,3
CO_m1.[CH3]_m2>>[CH2]O_m2.C_m1,4,0,0,4
CO_m1.[CH3]_m2>>C[O]_m2.C_m1,5,0,1,4
CO_m1.[CH]=O_m2>>[CH2]O_m2.C=O_m1,4,0,0,3
CO_m1.C[O]_m2>>[CH2]O_m2.CO_m1,4,1,0,5
CO_m1.CO[O]_m2>>[CH2]O_m2.COO_m1,4,2,0,6
[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2,4,1,1,2
[CH2]O_m2.[O][O]_m3>>C=O_m1.O[O]_m2,4,1,1,2
[CH2]O_m2.[H]_m2>>C=O_m1.[H][H]_m1,4,0,1,1
[CH2]O_m2.O[O]_m2>>C=O_m1.OO_m1,4,1,1,3
[CH2]O_m2.[CH]=O_m2>>C=O_m1.C=O_m1,4,0,1,3
[CH]=O_m2.[CH2]O_m2>>[C]=O_m3.CO_m1,1,0,0,4
[CH2]O_m2.C[O]_m2>>C=O_m1.CO_m1,4,1,1,5
[CH2]O_m2.[OH]_m2>>C=O_m1.O_m1,4,0,1,2
[CH2]O_m2.[O]_m3>>C=O_m1.[OH]_m2,4,0,1,1
[CH2]O_m2.[CH2]O_m2>>C=O_m1.CO_m1,4,0,1,4
C[O]_m2.[O][O]_m3>>C=O_m1.O[O]_m2,4,1,0,2
