reaction_id,q1h_idx,q2_idx,q1_idx,q2h_idx
[CH3]_m2.[O]_m3>>[CH2]_m3.[OH]_m2,3,0,0,1
C_m1.[OH]_m2>>[CH3]_m2.O_m1,4,0,0,2
[O]O_m2.[OH]_m2>>[O][O]_m3.O_m1,2,0,1,2
OO_m1.[OH]_m2>>[O]O_m2.O_m1,2,0,0,2
C=C[O]_m2.[O][O]_m3>>C=C=O_m1.[O]O_m2,5,1,1,2
C=CCO_m1.[OH]_m2>>C=C[CH]O_m2.O_m1,8,0,2,2
C[CH2]_m2.[O]O_m2>>C=C_m1.OO_m1,6,0,1,2
C[CH]C_m2.[O]O_m2>>C=CC_m1.OO_m1,6,0,0,2
O_m1.[O]_m3>>[OH]_m2.[OH]_m2,2,0,0,1
CCC_m1.[OH]_m2>>[CH2]CC_m2.O_m1,5,0,0,2
[O]O_m2.[H]_m2>>[O][O]_m3.[H][H]_m1,2,0,1,1
C=CO_m1.[CH]=O_m2>>C=C[O]_m2.C=O_m1,6,0,2,3
C=C[O]_m2.[CH3]_m2>>C=C=O_m1.C_m1,5,0,1,4
C=CCO_m1.[H]_m2>>C=C[CH]O_m2.[H][H]_m1,8,0,2,1
[O]O_m2.[CH3]_m2>>[O][O]_m3.C_m1,2,0,1,4
[O]O_m2.[O]O_m2>>[O][O]_m3.OO_m1,2,0,1,2
OO_m1.[CH2]CC_m2>>[O]O_m2.CCC_m1,2,0,0,5
[CH]=C_m2.[O]O_m2>>C#C_m1.OO_m1,4,0,1,2
C_m1.[H]_m2>>[CH3]_m2.[H][H]_m1,4,0,0,1
CC=O_m1.[CH3]_m2>>C=C[O]_m2.C_m1,5,0,0,4
COO_m1.C[CH]C_m2>>CO[O]_m2.CCC_m1,6,1,2,7
C[CH]CO_m2.[O]O_m2>>C=CCO_m1.OO_m1,7,0,0,2
C_m1.[O]_m3>>[CH3]_m2.[OH]_m2,4,0,0,1
C=C[O]_m2.[O]O_m2>>C=C=O_m1.OO_m1,5,0,1,2
C=O_m1.[OH]_m2>>[CH]=O_m2.O_m1,3,0,0,2
C=C_m1.[OH]_m2>>[CH]=C_m2.O_m1,3,0,0,2
C=O_m1.[O]O_m2>>[CH]=O_m2.OO_m1,3,0,0,2
COO_m1.[CH2]CC_m2>>CO[O]_m2.CCC_m1,6,0,2,5
C=CC=O_m1.[OH]_m2>>C=C[C]=O_m2.O_m1,7,0,2,2
O=COO_m1.C[CH]C_m2>>[O]OC=O_m2.CCC_m1,5,1,0,7
CCC_m1.[H]_m2>>[CH2]CC_m2.[H][H]_m1,5,0,0,1
[O]O_m2.[O]_m3>>[O][O]_m3.[OH]_m2,2,0,1,1
O=CCO_m1.[OH]_m2>>[O]C=CO_m2.O_m1,6,0,2,2
C=CCO_m1.[O]O_m2>>C=C[CH]O_m2.OO_m1,8,0,2,2
